User,Gender,Age,English,QWERTY,Gesture,VRexp,Speed,Accuracy,Distance,Fatigue,Learnbility,Preference
lyb,Male,21,3,3,1,3,3,4,5,2,5,3
yyk,Male,24,3,4,2,4,5,4,4,4,5,5
zmy,Male,20,4,4,3,3,4,3,3,3,5,4
zpj,Male,21,4,4,2,2,5,4,3,3,5,5
yzc,Male,21,3,5,5,3,4,4,3,3,4,5
lyq,Male,23,2,4,4,4,4,3,3,3,4,4
xy,Female,20,3,4,1,1,3,4,2,1,4,4
lmy,Female,21,2,4,3,2,2,2,2,1,5,3
wzr,Female,20,4,4,1,3,2,3,3,1,3,3
wq,Female,20,4,4,2,3,3,5,4,4,5,4
gyz,Male,21,2,5,3,4,4,3,3,2,3,4
xwj,Male,21,3,5,5,4,4,2,4,3,3,4
Mean,,,,,,,3.583333333,3.416666667,3.25,2.5,4.25,4
SD,,,,,,,0.99620492,0.900336637,0.866025404,1.087114613,0.866025404,0.738548946
